ROW_ID,ROW_VERSION,projectName,id,fundingAgency,citation,doi,tumorType,diseaseFocus,featured,manifestation,studyName,title,journal,author,year,pmid
10,0,Synodos NF1 Low Grade Glioma,syn5698493,CTF,"Ricker CA, et al. Challenges in Drug Discovery for Neurofibromatosis Type 1-Associated Low-Grade Glioma. Front Oncol (2016).",10.3389/fonc.2016.00259,Low Grade Glioma,Neurofibromatosis 1,,Low Grade Glioma,Synodos NF1 Low Grade Glioma,Challenges in Drug Discovery for Neurofibromatosis Type 1-Associated Low-Grade Glioma.,Frontiers in Oncology,Cora A Ricker | Yuan Pan | David H Gutmann | Charles Keller,2016,28066715
11,12,Plexiform Neurofibroma Model Systems for Preclinical Drug Screening,syn7217928,NTAP,"Brock EJ, Ji K, Reiners JJ Jr. & Mattingly RR. How to Target Activated Ras Proteins: Direct Inhibition vs. Induced Mislocalization. Mini Rev Med Chem. 2016 ; 16(5): 358-369.",10.2174/1389557515666151001154002,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Plexiform Neurofibroma Model Systems for Preclinical Drug Screening,How to Target Activated Ras Proteins: Direct Inhibition vs. Induced Mislocalization,Mini-Reviews in Medicinal Chemistry,Ethan J Brock | Kyunmin Ji | John J Reiners | Raymond R Mattingly,2016,26423696
12,12,pNF Cell Line Characterization Studies,syn4939874,NTAP,"Ferrer M, et al. Pharmacological and genomic profiling of neurofibromatosis type 1 plexiform neurofibroma-derived schwann cells. Nature Sci Data (2018).",10.1038/sdata.2018.106,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,pNF Cell Line Characterization Studies,Pharmacological and genomic profiling of neurofibromatosis type 1 plexiform neurofibroma-derived schwann cells.,Scientific Data,Marc Ferrer | Sara J C Gosline | Marigo Stathis | Xiaohu Zhang | Xindi Guo | Rajarshi Guha | Dannielle A Ryman | Margaret R Wallace | Laura Kasch-Semenza | Haiping Hao | Roxann Ingersoll | David Mohr | Craig Thomas | Sharad Verma | Justin Guinney | Jaishri O Blakeley,2018,29893754
13,0,Drug-Target Explorer,syn11672851,CTF,"Allaway RJ, et al. Probing the chemical-biological relationship space with the Drug Target Explorer. J Chem Inf (2018).",10.1186/s13321-018-0297-4,,Multiple,,,Drug-Target Explorer,Probing the chemical-biological relationship space with the Drug Target Explorer.,Journal of Cheminformatics,Robert J Allaway | Salvatore La Rosa | Justin Guinney | Sara J C Gosline,2018,30128806
14,0,NF Cell Line Compound Screens,syn11817821,CTF,"Guo J, et al. Comprehensive pharmacological profiling of neurofibromatosis cell lines. Am J Cancer Res (2017).",10.7303/syn16857059.1,MPNST,Neurofibromatosis 1,,Plexiform Neurofibroma | MPNST | Meningioma,NF Cell Line Compound Screens,Comprehensive pharmacological profiling of neurofibromatosis cell lines.,American Journal of Cancer Research,Jianman Guo | Michael R Grovola | Hong Xie | Grace E Coggins | Patrick Duggan | Rukhsana Hasan | Jiale Huang | Danny W Lin | Claire Song | Gabriela M Witek | Simon Berritt | David C Schultz | Jeffrey Field,2017,28469964
16,12,Development of Patient Reported Outcomes System,syn4939888,NTAP,"Lai, JS, et al. Using a qualitative approach to conceptualize concerns of patients with neurofibromatosis Type 1 associated plexiform neurofibromas (pNF) across the lifespan. J. American Journal of Medical Genetics Part A. 2017 173(1), 79-87.",10.1002/ajmg.a.37987,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Development of Patient Reported Outcomes System,Using a qualitative approach to conceptualize concerns of patients with neurofibromatosis type 1 associated plexiform neurofibromas (pNF) across the lifespan.,American Journal of Medical Genetics Part A,Jin-Shei Lai | Sally E Jensen | Zabin S Patel | Robert Listernick | Joel Charrow,2017,27666129
17,12,Development of Patient Reported Outcomes System,syn4939888,NTAP,"Patel ZS, et al.Considerations for conducting qualitative research with pediatric patients for the purpose of PRO development.  Quality of Life Research, 2016; 25, 2193-2199.",10.1007/s11136-016-1256-z,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Development of Patient Reported Outcomes System,Considerations for conducting qualitative research with pediatric patients for the purpose of PRO development.,Quality of Life Research,Zabin S Patel | Sally E Jensen | Jin-Shei Lai,2016,26941216
18,12,Development of Patient Reported Outcomes System,syn4939888,NTAP,"Jensen, SE, et al. Lifespan Development: Symptoms Experienced by Individuals with Neurofibromatosis Type 1-Associated Plexiform Neurofibromas from Childhood into Adulthood. Journal of Clinical Psychology in Medical Settings.",10.1007/s10880-018-9584-5,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Development of Patient Reported Outcomes System,Lifespan Development: Symptoms Experienced by Individuals with Neurofibromatosis Type 1 Associated Plexiform Neurofibromas from Childhood into Adulthood.,Journal of Clinical Psychology in Medical Settings,Sally E Jensen | Zabin S Patel | Robert Listernick | Joel Charrow | Jin-Shei Lai,2018,30298332
19,12,Development of Patient Reported Outcomes System,syn4939888,NTAP,"Lai, J-S., et al. (in press). PROMIS and Neuro-QoL to Evaluate Quality of Life for Children and Adolescents with Neurofibromatosis Type 1 Associated Plexiform Neurofibroma. Journal of Pediatrics.",10.1016/j.jpeds.2018.10.019,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Development of Patient Reported Outcomes System,Patient Reported Outcomes Measurement Information System and Quality of Life in Neurological Disorders Measurement System to Evaluate Quality of Life for Children and Adolescents with Neurofibromatosis Type 1 Associated Plexiform Neurofibroma.,The Journal of Pediatrics,Jin-Shei Lai | Sally E Jensen | Joel Charrow | Robert Listernick,2019,30413310
21,12,Development and Validation of PRO Measures to Assess Pain in Individuals with NF1 and pNF,syn4939912,NTAP,"Walsh, KS et al.  for the REiNS International Collaboration.  Neurocognitive outcomes in neurofibromatosis clinical trials: Recommendations for the domain of attention. Neurology. 2016 August 16; 87(7 Suppl 1):  S21-30.",10.1212/WNL.0000000000002928,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Development and Validation of PRO Measures to Assess Pain in Individuals with NF1 and pNF,Neurocognitive outcomes in neurofibromatosis clinical trials: Recommendations for the domain of attention.,Neurology,Karin S Walsh | Jennifer Janusz | Pamela L Wolters | Staci Martin | Bonita P Klein-Tasman | Mary Anne Toledo-Tamula | Heather L Thompson | Jonathan M Payne | Kristina K Hardy | Peter de Blank | Claire Semerjian | Laura Schaffner Gray | Sondra E Solomon | Nicole Ullrich,2016,27527646
22,12,Development and Validation of PRO Measures to Assess Pain in Individuals with NF1 and pNF,syn4939912,NTAP,"Wolters, PL et al. for the REiNS International Collaboration. Patient-reported outcomes of pain and physical functioning in neurofibromatosis clinical trials. Neurology. 2016 Aug 16;87(7 Suppl 1):S4-S12.",10.1212/WNL.0000000000002927,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Development and Validation of PRO Measures to Assess Pain in Individuals with NF1 and pNF,Patient-reported outcomes of pain and physical functioning in neurofibromatosis clinical trials.,Neurology,Pamela L Wolters | Staci Martin | Vanessa L Merker | James H Tonsgard | Sondra E Solomon | Andrea Baldwin | Amanda L Bergner | Karin Walsh | Heather L Thompson | Kathy L Gardner | Cynthia M Hingtgen | Elizabeth Schorry | William N Dudley | Barbara Franklin,2016,27527648
23,12,Acceptance and Commitment Therapy in NF1,syn4939896,NTAP,"Allen, TM et al. The Relationship Between Heart Rate Variability, Psychological Flexibility, and Pain in Neurofibromatosis Type 1. Pain Pract. 2018 Mar 23.",10.1111/papr.12695,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Acceptance and Commitment Therapy in NF1,"The Relationship Between Heart Rate Variability, Psychological Flexibility, and Pain in Neurofibromatosis Type 1.",Pain Practice,Taryn M Allen | Kari L Struemph | Mary Anne Toledo-Tamula | Pamela L Wolters | Andrea Baldwin | Brigitte Widemann | Staci Martin,2018,29570943
24,29,Exploring the Plexiform Neurofibroma Interactome,syn4939890,NTAP,"Choi, K. et al. An inflammatory gene signature distinguishes neurofibroma SC and macrophages from cells in the normal peripheral nervous system. Scientific Reports. 2017 March 3.",10.1038/srep43315,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Exploring the Plexiform Neurofibroma Interactome,An inflammatory gene signature distinguishes neurofibroma Schwann cells and macrophages from cells in the normal peripheral nervous system.,Scientific Reports,Kwangmin Choi | Kakajan Komurov | Jonathan S Fletcher | Edwin Jousma | Jose A Cancelas | Jianqiang Wu | Nancy Ratner,2017,28256556
25,23,Mechanisms underlying cutaneous neurofibroma formation in NF1,syn4939910,NTAP,"Peacock, JD et al. Genomic Status of MET Potentiates Sensitivity to MET and MEK Inhibition in NF1-Related Malignant Peripheral Nerve Sheath Tumors. Cancer Res. 2018 Jul 1;78(13):3672-3687.",10.1158/0008-5472.CAN-17-3167,Cutaneous Neurofibroma,Neurofibromatosis 1,yes,Cutaneous Neurofibroma,Mechanisms underlying cutaneous neurofibroma formation in NF1,Genomic Status of MET Potentiates Sensitivity to MET and MEK Inhibition in NF1-Related Malignant Peripheral Nerve Sheath Tumors.,Cancer Research,Jacqueline D Peacock | Matthew G Pridgeon | Elizabeth A Tovar | Curt J Essenburg | Megan Bowman | Zachary Madaj | Julie Koeman | Elissa A Boguslawski | Jamie Grit | Rebecca D Dodd | Vadim Khachaturov | Diana M Cardona | Mark Chen | David G Kirsch | Flavio Maina | Rosanna Dono | Mary E Winn | Carrie R Graveel | Matthew R Steensma,2018,29720369
26,19,Screening of Plexiform Neurofibroma 3D Models,syn4939916,NTAP,"Brock EJ, et al.  How to Target Activated Ras Proteins: Direct Inhibition vs. Induced Mislocalization. Mini Rev Med Chem. 2016",10.2174/1389557515666151001154002,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Screening of Plexiform Neurofibroma 3D Models,,,,,
27,12,Determining pNF Cell Of Origin using iPS Cells,syn4939918,NTAP,"Carrio, M et al. Analysis of intratumor heterogeneity in Neurofibromatosis type 1 plexiform neurofibromas and neurofibromas with atypical features: Correlating histological and genomic findings. Hum Mutat. 2018 Aug;39(8):1112-1125.",10.1002/humu.23552,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Determining pNF Cell Of Origin using iPS Cells,Analysis of intratumor heterogeneity in Neurofibromatosis type 1 plexiform neurofibromas and neurofibromas with atypical features: Correlating histological and genomic findings.,Human Mutation,Meritxell Carrió | Bernat Gel | Ernest Terribas | Adriana Carolina Zucchiatti | Teresa Moliné | Inma Rosas Álex Teulé | Santiago Ramón y Cajal | Juan Carlos López_Gutiérrez | Ignacio Blanco | Elisabeth Castellanos | Conxi Lázaro | Anat Stemmer_Rachamimov | Cleofé Romagosa | Eduard Serra,2018,29774626
28,12,pNF Cell Line Development,syn7239479,NTAP,"Li H., et al. Immortalization of human normal and NF1 neurofibroma schwann cells. Laboratory Investigation 2016 Oct; 96:1105•À_•À_•À_1115.",10.1038/labinvest.2016.88,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,pNF Cell Line Development,Immortalization of human normal and NF1 neurofibroma Schwann cells.,Laboratory Investigation,Hua Li | Lung-Ji Chang | Debbie R Neubauer | David F Muir | Margaret R Wallace,2016,27617404
29,12,NF1 Dermal Neurofibroma Longitudinal Natural History Study and Selumetinib Clinical Trial,syn8012530,NTAP,"Cannon Al, et al. Cutaneous neurofibromas in Neurofibromatosis type I: a quantitative natural history study. Orphanet J Rare Dis. 2018 Feb 7;13(1):31.",10.1186/s13023-018-0772-z,Cutaneous Neurofibroma,Neurofibromatosis 1,,Cutaneous Neurofibroma,NF1 Dermal Neurofibroma Longitudinal Natural History Study and Selumetinib Clinical Trial,Cutaneous neurofibromas in Neurofibromatosis type I: a quantitative natural history study.,Orphanet Journal of Rare Diseases,Ashley Cannon | Mei-Jan Chen | Peng Li | Kevin P Boyd | Amy Theos | David T Redden | Bruce Korf,2018,29415745
30,12,Plexiform Neurofibroma Model Systems for Preclinical Drug Screening,syn7217928,NTAP,"Kraniak, JM et al.  Development of 3D culture models of plexiform neurofibroma and initial application for phenotypic characterization and drug screening.  Exp Neurol. 2017 Oct 18",10.1016/j.expneurol.2017.10.012,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Plexiform Neurofibroma Model Systems for Preclinical Drug Screening,Development of 3D culture models of plexiform neurofibroma and initial application for phenotypic characterization and drug screening.,Experimental Neurology,Janice M Kraniak | Anita Chalasani | Margaret R Wallace | Raymond R Mattingly,2018,29055717
31,30,Synodos NF1 Preclinical Models (Minnesota CCHMC Recombinetics),syn5610425,CTF,"Isakson SH, et al. Genetically engineered minipigs model the major clinical features of human neurofibromatosis type 1. Commun Biol (2018).",10.1038/s42003-018-0163-y,Plexiform Neurofibroma | Low Grade Glioma,Neurofibromatosis 1,,Plexiform Neurofibroma | Low Grade Glioma,Synodos NF1 Preclinical Models (Minnesota CCHMC Recombinetics),Genetically engineered minipigs model the major clinical features of human neurofibromatosis type 1.,Communications Biology,Sara H Isakson | Anthony E Rizzardi | Alexander W Coutts | Daniel F Carlson | Mark N Kirstein | James Fisher | Jeremie Vitte | Kyle B Williams | G Elizabeth Pluhar | Sonika Dahiya | Brigitte C Widemann | Eva Dombi | Tilat Rizvi | Nancy Ratner | Ludwine Messiaen | Anat O Stemmer-Rachamimov | Scott C Fahrenkrug | David H Gutmann | Marco Giovannini | Christopher L Moertel | David A Largaespada | Adrienne L Watson,2018,30302402
33,22,Columbia University NF1 Glioma Project,syn6633069,CTF,"D'Angelo F, et al. The molecular landscape of glioma in patients with Neurofibromatosis 1. Nat Med (2018).",10.1038/s41591-018-0263-8,Low Grade Glioma,Neurofibromatosis 1,,Low Grade Glioma,Columbia University NF1 Glioma Project,The molecular landscape of glioma in patients with Neurofibromatosis 1.,Nature Medicine,"Fulvio D'Angelo | Michele Ceccarelli | Institute for Cancer Genetics, Columbia University Medical Center, New York, NY, USA Tala | Luciano Garofano | Jing Zhang | VÃ©ronique Frattini | Francesca P Caruso | Genevieve Lewis | Kristin D Alfaro | Luc Bauchet | Giulia Berzero | David Cachia | Mario Cangiano | Laurent Capelle | John de Groot | Francesco DiMeco | FranÃ§ois Ducray | Walid Farah | Gaetano Finocchiaro | StÃ©phane Goutagny | Carlos Kamiya-Matsuoka | Cinzia Lavarino | Hugues Loiseau | VÃ©ronique Lorgis | Carlo E Marras | Ian McCutcheon | Do-Hyun Nam | Susanna Ronchi | Veronica Saletti | Romuald Seizeur | John Slopis | Mariona SuÃ±ol | Fanny Vandenbos | Pascale Varlet | Dominique Vidaud | Colin Watts | Viviane Tabar | David E Reuss | Seung-Ki Kim | David Meyronet | Karima Mokhtari | Hector Salvador | Krishna P Bhat | Marica Eoli | Marc Sanson | Anna Lasorella | Antonio Iavarone",2019,30531922
34,35,Synodos NF1 Preclinical Models (Iowa Sanford Exemplar),syn5610446,CTF,"PREPRINT: Khanna, R, et al. Sex-dependent differences in pain and sleep in a porcine model of Neurofibromatosis type 1. Bioarxiv (2018).",10.1101/495358,Plexiform Neurofibroma,Neurofibromatosis 1,,Pain,Synodos NF1 Preclinical Models (Iowa Sanford Exemplar),Sex-dependent differences in pain and sleep in a porcine model of Neurofibromatosis type 1,biorxiv,Rajesh Khanna |  Aubin Moutal |  Katherine A. White |  Aude Chefdeville |  Pedro Negrao de Assis |  Song Cai |  Vicki J. Swier |  Shreya S. Bellampalli |  Marissa D. Giunta |  Benjamin W. Darbro |  Dawn E. Quelle |  Jessica C. Sieren |  Margaret R. Wallace |  Christopher S. Rogers |  David K. Meyerholz |  Jill M. Weimer,2018,
36,29,Exploring the Plexiform Neurofibroma Interactome,syn4939890,NTAP,"Fletcher J, et al. Cxcr3-expressing leukocytes are necessary for neurofibroma formation in mice. JCI Insight 2019.",10.1172/jci.insight.98601,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Exploring the Plexiform Neurofibroma Interactome,Cxcr3-expressing leukocytes are necessary for neurofibroma formation in mice.,JCI Insight,Jonathan S Fletcher | Jianqiang Wu | Walter J Jessen | Jay Pundavela | Jacob A Miller | Eva Dombi | Mi-Ok Kim | Tilat A Rizvi | Kashish Chetal | Nathan Salomonis | Nancy Ratner,2019,30728335
37,31,Synodos NF1 Preclinical Models (Iowa Sanford Exemplar),syn5610446,CTF,"Uthoff J, et al. Radiomic biomarkers informative of cancerous transformation in neurofibromatosis-1 plexiform tumors. J Neuroradiol (2018).",10.1016/j.neurad.2018.05.006,Plexiform Neurofibroma | MPNST,Neurofibromatosis 1,,Plexiform Neurofibroma | MPNST,Synodos NF1 Preclinical Models (Iowa Sanford Exemplar),Radiomic biomarkers informative of cancerous transformation in neurofibromatosis-1 plexiform tumors.,Journal of Neuroradiology,J Uthoff | F A De Stefano | K Panzer | B W Darbro | T S Sato | R Khanna | D E Quelle | D K Meyerholz | J Weimer | J C Sieren,2019,29958847
38,32,Phenotypic screening of anti-NF2 drug candidates in merlin-deficient and normal mouse Schwann cells,syn5562324,CTF,"Petrilli A, et al. A chemical biology approach identified PI3K as a potential therapeutic target for neurofibromatosis type 2. Am J Transl Res (2014).",10.7303/syn18460006.1,Schwannoma,Neurofibromatosis 2,,Schwannoma,Phenotypic screening of anti-NF2 drug candidates in merlin-deficient and normal mouse Schwann cells,A chemical biology approach identified PI3K as a potential therapeutic target for neurofibromatosis type 2,American Journal of Translational Research,Alejandra M Petrilli | Marisa A Fuse | Mathew S Donnan | Marga Bott | Nicklaus A Sparrow | DanielTondera | Julia Huffziger | Corina Frenzel | C Siobhan Malany | Christophe J Echeverri | Layton Smith | Cristina Fernández-Valle,2014,25360213
39,32,Phenotypic screening of anti-NF2 drug candidates in merlin-deficient and normal mouse Schwann cells,syn5562324,CTF,"Fuse, M. et al. Combination Therapy with c-Met and Src Inhibitors Induces Caspase-Dependent Apoptosis of Merlin-Deficient Schwann Cells and Suppresses Growth of Schwannoma Cells. Mol Cancer Therap (2017).",10.1158/1535-7163.MCT-17-0417,Schwannoma,Neurofibromatosis 2,,Schwannoma,Phenotypic screening of anti-NF2 drug candidates in merlin-deficient and normal mouse Schwann cells,Combination Therapy with c-Met and Src Inhibitors Induces Caspase-Dependent Apoptosis of Merlin-Deficient Schwann Cells and Suppresses Growth of Schwannoma Cells.,Molecular Cancer Therapeutics,Marisa A Fuse | Stephani Klingeman Plati | Sarah S Burns | Christine T Dinh | Olena Bracho | Denise Yan | Rahul Mittal | Rulong Shen | Julia N Soulakova | Alicja J Copik | Xue Zhong Liu | Fred F Telischi | Long-Sheng Chang | Maria Clara Franco | Cristina Fernandez-Valle,2017,28775147
40,33,Synodos NF1 Preclinical Models (Iowa Sanford Exemplar),syn5610446,CTF,"Moutal A, White K, et al. Dysregulation of CRMP2 Post-Translational Modifications Drive Its Pathological Functions. Molecular Neurobiology (2019).",10.1007/s12035-019-1568-4,,Neurofibromatosis 1,,Pain,Synodos NF1 Preclinical Models (Iowa Sanford Exemplar),Dysregulation of CRMP2 Post-Translational Modifications Drive Its Pathological Functions.,Molecular Neurobiology,Aubin Moutal | Katherine A White | Aude Chefdeville | Rachel N Laufmann | Peter F Vitiello | Douglas Feinstein | Jill M Weimer | Rajesh Khanna,2019,30915713
41,34,Synodos NF1 Preclinical Models (Minnesota CCHMC Recombinetics),syn5610425,CTF,"Ramkissoon, A, et al. Targeted inhibition of the dual specificity phosphatases DUSP1 and DUSP6 suppress MPNST growth via JNK. Clin Cancer Res. (2019)",10.1158/1078-0432.CCR-18-3224,MPNST,Neurofibromatosis 1,yes,MPNST,Synodos NF1 Preclinical Models (Minnesota CCHMC Recombinetics),Targeted Inhibition of the Dual Specificity Phosphatases DUSP1 and DUSP6 Suppress MPNST Growth via JNK.,Clinical Cancer Research,Annmarie Ramkissoon | Katherine E Chaney | David Milewski | Kyle B Williams | Rory L Williams | Kwangmin Choi | Adam Miller | Tanya V Kalin | Joseph G Pressey | Sara Szabo | Mohammad Azam | David A Largaespada | Nancy Ratner,2019,30936125
