ROW_ID,ROW_VERSION,studyName,studyId,studyFileviewId,studyStatus,dataStatus,studyLeads,fundingAgency,summary,summarySource,institutions,diseaseFocus,manifestation,featured,consortium,id,accessRequirements,acknowledgementStatements,relatedStudies
141,99,Development of Needs-based Quality of Life Patient Reported Outcome,syn4939880,syn19554989,Completed,None,Stephen McKenna,NTAP,"The goal of this project is to establish that interventions to NF1-associated pNFs improve/benefit a patient's QoL, in addition to clinical status. The study was designed to develop a patient-based measure that determines the impact of plexiforms on need fulfilment in affected individuals. The model underlying the new measure is that illness and its treatment affect individuals by limiting their ability to meet their human needs. Needs are fundamental to life as they motivate us to take appropriate actions. The work is being conducted in parallel in the US and UK. Consequently, the final scale will be valid for use in both countries individually or combined. A secondary aim of the study is to work with the European Medicines Agency (EMA) to gain favourable Qualification Opinion for the new PRO. This will ensure that data generated from the measure in clinical trials will be accepted by the EMA.",https://www.synapse.org/#!Synapse:syn4939880/wiki/235896,,Neurofibromatosis 1,Plexiform Neurofibroma,,,syn4939880,,,"syn4939878, syn4939888, syn12051335"
142,99,Development of Patient Reported Outcomes System,syn4939888,syn15666651,Completed,Published,Jin-Shei Lai,NTAP,"Patient Reported Outcome (PRO) measures assess the treatment outcomes most relevant to patients, and constitute potential outcomes to evaluate in clinical trials. PROs meeting FDA guidelines are critical to ensuring patient-centered endpoints are incorporated. Historically, NF1-associated plexiform neurofibromas (pNF) treatment trials have under-utilized PROs specific to pNF. A psychometrically sound measure incorporating input from patients, families and clinicians, is critical for inclusion in treatment trials. To address the need for a pNF-specific PRO measure for use in clinical trials, this project sought to develop a PRO measurement system utilizing input from patients, families and clinicians, as well as well as psychometric analysis methods to ensure the developed measures are reliable and valid. Specifically this project designed a PRO system for children and young adults with pNF by (1) establishing a conceptual model describing HRQOL, 2) Developing item pools (e.g., pain, stigma, and organ dysfucntion measures), 3) Evaluating psychometric properties of the pools, 4) affirming clinical differences.",https://www.synapse.org/#!Synapse:syn4939888/wiki/235900,Northwestern University,Neurofibromatosis 1,Plexiform Neurofibroma,,,syn4939888,Accessing the data from this study requires a Synapse account.,,"syn4939878, syn4939880, syn12051335"
143,99,Drug Screening of pNF Cell Lines,syn4939906,syn7850572,Completed,Partially Released,Marc Ferrer,NTAP,"A lack of cellular model systems was identified as a major gap in pNF therapeutics-focused research when NTAP was launched in 2012. Hence, creating a cell culture initiative was an early priority. While current animal models can faithfully mimic some aspects of pNF (tumor histology, imaging characteristics, natural history), they are based on relatively narrow genetically engineered platforms and are not fully representative of human NF1 diversity. Moreover, the tumors in these models are slow growing (requiring 9-12 months for a single compound efficacy study) and costly. Hence, there is a need for in vivo models that allow more rapid drug screening (particularly when considering possible combinatorial therapies) and a need for in vitro models that allow more facile manipulation of the NF1 gene in order to understand the molecular genomics influencing tumor behavior. The goal of this project is to create a panel of cell culture systems that represent pNF complexity and can be utilized to both screen new compounds as well as to identify new therapeutic targets.",https://www.synapse.org/#!Synapse:syn4939906/wiki/235909,National Center for Advancing Translational Sciences,Neurofibromatosis 1,Plexiform Neurofibroma,,,syn4939906,Accessing the data from this study requires a Synapse account.,"If you use data from this study in a publication or talk, please cite the following publication: ""Ferrer M, Gosline SJC, Stathis M, et al. Pharmacological and genomic profiling of neurofibromatosis type 1 plexiform neurofibroma-derived schwann cells. Sci Data. 2018;5:180106. Published 2018 Jun 12. doi:10.1038/sdata.2018.106."" In addition, please acknowledge the NF Data Portal using the following statement: ""The results published here are in whole or in part based on data obtained from the NF Data Portal (http://www.nfdataportal.org) and made available through the NF Open Science Initiative.""",syn4939874
144,99,Expression of cNFs Due to Schwann Cell-Fibroblast Interactions,syn11374353,syn11601488,Active,Under Embargo,Eduard Serra,NTAP,"Inactivation of the NF1 gene in SCs is believed to be the cause triggering cNF formation. Extensive analysis has shown that from a genetic and genomic perspective, there is no additional recurrent genetic alteration besides the NF1 inactivation involved in cNFs. Despite its simple genetic etiology, the contribution of the interactions among cells composing cNFs need to be investigated to better understand their role in cNF formation and their potential influence on treatment response. In this work, we propose to use co-cultures of cNF-derived primary SCs and FBs to identify expression signatures in cNFs that are specifically due to SC-FB heterotypic interactions. For this purpose we will compare RNA-Seq data from cNFs, their single cell primary cultures and co-cultures of SCs and FBs. Furthermore, we will identify the genetic variation present in gene coding regions of neurofibroma donors. Since SCs and FBs used in co-cultures will belong to different individuals, we estimate to dissect about 75% of the expression signature due to SC-FB interactions by assigning each differently expressed gene to a specific cell type, according to their genetic variation. Signaling pathways represented by expression signatures will be analyzed and their disruption tested functionally. The goal of this study is to understand the signaling between SCs and FBs within cNFs and their importance and impact on their viability, proliferation capacity and contribution to cNF development.",https://www.synapse.org/#!Synapse:syn11374353/wiki/488830,IGPT,Neurofibromatosis 1,Cutaneous Neurofibroma,,,syn11374353,The data from this study is currently under embargo. Please contact the principal investigator for access to the data.,,"syn11374357, syn11374339, syn4939910"
145,99,Genetic Studies of Neurofibromas,syn11374339,syn11601459,Active,Under Embargo,Peggy Wallace,NTAP,"NF1 cutaneous neurofibromas (cNFs) have some similarities to non-cutaneous (plexiform) neurofibromas, but there are also differences whose molecular bases are not well characterized. There is also heterogeneity within cNFs, e.g. NF1 mutations and phenotypes. To improve our understanding of cNF biology, we will develop characterized cNF Schwann cell two-hit cultures/lines, and perform exome RNA sequence analysis in these resources as well as primary tissue (intact and isolated single cells). Heterozygous Schwann cell lines will also be developed and studied from some of the same tumors.",https://www.synapse.org/#!Synapse:syn11374339/wiki/488815,University of Florida,Neurofibromatosis 1,Cutaneous Neurofibroma,,,syn11374339,The data from this study is currently under embargo. Please contact the principal investigator for access to the data.,,"syn11374357, syn11374353, syn4939910"
146,99,Identifying preclinical predictors of clinical success in NF1,syn12051335,syn15665016,Active,Under Embargo,Jaishri Blakeley,NTAP,This project intends to characterize the current landscape of preclinical models and clinical trials in neurofibromatosis type 1 with the goal of identifying better preclinical measures.,Robert Allaway,Johns Hopkins University,Multiple,Plexiform Neurofibroma | MPNST,,,syn12051335,The data from this study is currently under embargo. Please contact the principal investigator for access to the data.,,"syn4939878, syn4939880, syn4939888"
147,99,Imaging Biomarkers of Neurofibromatosis,syn4939894,syn11678415,Active,None,Peter De Blank,NTAP,"The mechanism of visual acuity loss in optic pathway gliomas (OPG) involves damage to white matter connections due to tumor infiltration or compression of the visual pathway. Non-invasive methods of investigating white matter tract integrity and tissue microstructure may help measure and predict visual acuity in children with OPG. Research supported by the Francis S. Collins Scholarship examines two innovative and non-invasive measures of tissue microstructure: Diffusion Tensor Imaging (DTI) is a magnetic resonance technique to quantify white matter tracts and assess tract damage by measuring the preferential motion of water molecules along and not across hydrophobic myelin. In preliminary data, measures of white matter integrity in the optic radiations of children with OPG are associated with current visual acuity and may predict visual acuity one year later. Magnetic Resonance Fingerprinting (MRF) uses pseudo-randomized magnetic resonance acquisition parameters and a matching algorithm to rapidly quantify T1, T2, M0 and off-resonance signals. These measures of tissue microstructure have been associated with identification of tissue type and tumor grade, but have never before been available so rapidly and reliably. The goal of this project is to interrogate 2 two promising advanced magnetic resonance techniques, DTI and MRF, investigating tissue microstructure in OPG.",https://www.synapse.org/#!Synapse:syn4939894/wiki/235903,University Hospitals,Neurofibromatosis 1,Low Grade Glioma,,,syn4939894,,,"syn5698493, syn17100988"
148,99,Leveraging iPSCs to Determine Impact of NF1 Mutations,syn11374345,syn11601473,Active,Under Embargo,David Gutmann,NTAP,"Cutaneous or dermal neurofibromas (cNFs) are composed of neoplastic Schwann cells embedded in a microenvironment containing terminal nerve endings, fibroblasts, mast cells, and macrophages. While caused by loss of NF1 protein function in Schwannian lineage cells, studies in mouse plexiform neurofibroma models have revealed a critical role for non-neoplastic stromal cells (fibroblasts, mast cells, and macrophages) in tumor formation, maintenance, and continued growth. In this regard, inhibition of stromal cell (mast cells, macrophages) function in preclinical genetically-engineered mice resulted in attenuated plexiform neurofibroma growth. In addition to fibroblasts, mast cells, and macrophages, the NF1-deficient Schwann cells in cNFs often grow in proximity to terminal nerve endings. The intimate relationship between neurons and Schwann cells during normal peripheral nervous system development and function raises the intriguing possibility that neurons are important drivers of cNF growth. This notion is supported by recent studies in which the proliferation of myelinating cells in the central nervous system (oligodendrocytes) is regulated by neuronal production of a novel growth factor (neuroligin-3). Based on these provocative findings, we hypothesize that peripheral sensory neurons accelerate NF1-deficient Schwann cell growth through the elaboration of mitogens. To identify these potentially clinically-actionable mitogens, we have designed a series of milestone-driven experiments using a novel collection of patient-derived and isogenic human induced pluripotent stem cells harboring NF1-patient germline NF1 gene mutations.",https://www.synapse.org/#!Synapse:syn11374345/wiki/488824,Washington University of Saint Louis,Neurofibromatosis 1,Cutaneous Neurofibroma,,,syn11374345,The data from this study is currently under embargo. Please contact the principal investigator for access to the data.,,"syn11374341, syn4939890, syn8012599"
149,99,Microenvironmental Targets of Cutaneous Neurofibromas,syn11374341,syn11601468,Active,Under Embargo,Juha Peltonen / Sirkku Peltonen,NTAP,"Immunity has a central and complex role in tumor growth, which can be utilized when developing new treatment modalities for tumors. To date, the role of immune system in cNFs has gained little attention. Transformed cells are normally eradicated by cooperation of innate and adaptive immune cells. Immune surveillance could be expected to recognize neurofibromin neoepitopes resulting from the second hit of the NF1 gene, but this is not taking place in cNFs. Mast cells are known to be abundant in cNFs and they are increasingly more interesting as druggable targets in tumor biology and neurogenic itch. It is also not known whether mast cells of cNFs are tumorigenic or anti- tumorigenic. The goal of this project is to prove that T cells and mast cells are valid targets for the treatment of cNF. Elucidating the characteristics, roles and effects of these prominent tumor microenvironment components in promoting tumorigenesis could be used to facilitate finding of targeted therapies for the treatment of cNF. The therapeutic modalities include those already approved and those being developed for tumor biology as well as for inflammatory diseases.",https://www.synapse.org/#!Synapse:syn11374341/wiki/488819,University of Turku,Neurofibromatosis 1,Cutaneous Neurofibroma,,,syn11374341,The data from this study is currently under embargo. Please contact the principal investigator for access to the data.,,"syn11374345, syn4939890, syn8012599"
150,99,Modeling signaling networks of NF1-deficient Schwann cells and plexiform neurofibromas,syn8016599,syn15666926,Active,None,James Walker,NTAP,"We aim to identify putative proteomic and/or phosphoproteomic signatures associated with loss of NF1. Recent advances in mass-spectrometry (MS)-based proteomics permit the determination of the extent, localization, and site-specific stoichiometry of protein phosphorylation. We propose using two complementary MS-based approaches to define (i) the proteome and phosphoproteome and (ii) the activated kinome signature of NF1-deficient Schwann cells (SCs). We will perform analyses on a panel of SC lines derived from PNs. Transcriptome profiling of cell lines will complement these data sets, together providing a detailed view of the cellular signaling networks and the molecular targets controlled by neurofibromin in a cell-type relevant to the disease. Finally, we will use small molecule inhibitors to both known and any novel signaling pathways we identify to examine the adaptive kinome in treated cell lines. Combining the use of a novel panel of cell lines with the sensitivity of high-end MS, we expect to identify signaling pathways and targets previously implicated as being important in NF1-associated tumors, as well as new and unexpected targets downstream of NF1.",https://www.synapse.org/#!Synapse:syn8016599/wiki/411637,Massachusetts General Hospital,Neurofibromatosis 1,Plexiform Neurofibroma,,,syn8016599,,,"syn4939876, syn7239479, syn4939904, syn11374349"
151,99,NF Growth and Drug Resistance Pathways,syn4939892,syn8449651,Completed,Under Embargo,Nancy Ratner,NTAP,"Up to 50%> of children with NF1 develop plexiform neurofibromas that can cause severe disfigurement and serious morbidity-- and death when they compress vital organs. Most plexiform neurofibromas are resistant to chemotherapy and surgical removal is often impossible due to tumor size, location, and nerve integration. We jo not know why some human neurofibromas grow slowly and some rapidly, nor why some neurofibromas respond to therapy but others do not. Plexiform neurofibromas grow most aggressively in young children, and an appealing (unproven) idea is that transiently blocking growth of plexiform neurofibromas early in tumor development will prevent tumor progression. Models to study these critical issues have been lacking. Our laboratory has recently developed mouse models that recapitulate 1) slow and fast growing neurofibromas, and 2) neurofibromas that respond or fail to respond to targeted molecular therapy. We plan to use new methods in gene expression analysis to identify molecular pathways that correlate with these phenotypes in mouse models, with verification on human tissues. We also plan test if early treatment delays or halts neurofibroma formation by administering drugs before tumors develop in a neurofibroma mouse model.",https://www.synapse.org/#!Synapse:syn4939892/wiki/235902,Cincinnati Children's Hospital Medical Center,Neurofibromatosis 1,Plexiform Neurofibroma,,,syn4939892,,,"syn5714423, syn6633069, syn11374337, syn4939908, syn21641985"
152,99,NF1 Dermal Neurofibroma Longitudinal Natural History Study and Selumetinib Clinical Trial,syn8012530,syn11678417,Active,None,Ashley Cannon,NTAP,"Previous reports have correlated increased burden of dermal neurofibromas (DNs) with age and pregnancy, but longitudinal data are not available to establish a quantitative natural history of these tumors. Moreover, the genomic mechanisms responsible for dermal tumor proliferation are not completely understood, although biallelic inactivation of the NF1 gene is known to be required. The NF1 gene encodes neurofibromin, which negatively regulates the Ras/MAPK signaling cascade that includes the RAF/MEK/ERK and PI3K/AKT/mTOR pro-growth pathways. Current therapeutic development for NF1-related tumors target components of this pathway; however, clinical trials directed at dermal neurofibromas have been hampered by the difficulty in measuring and counting dermal neurofibromas. The overall goal of this project is to complete a longitudinal natural history study of dermal neurofibromas to enhance current knowledge of dermal neurofibroma development as well as improve the design, implementation, and interpretation of clinical trials targeting DNs. To address the clinical trial facet of this project, a trial using the MEK1/2 inhibitor selumetinib will be piloted. We will also evaluate the quality of life impact of dermal neurofibromas before and during Selumetinib treatment. For both facets of this study, we will examine genomic alterations that correlate with DN development and selumetinib response.",https://www.synapse.org/#!Synapse:syn8012530/wiki/411605,University of Alabama Medical Center,Neurofibromatosis 1,Cutaneous Neurofibroma,,,syn8012530,,,"syn5714288, syn5714290, syn8016650"
153,99,Cutaneous Neurofibroma Data Resource,syn4984604,syn11614202,Completed,Published,Salvatore La Rosa | Annette Bakker |  Justin Guinney,CTF,"In 2013, CTF began a neurofibromatosis biobank to collect NF samples to better study the disease. With all samples being collected under the same protocol, the biobank enables comprehensive analysis of diverse NF samples. To showcase the value the biobank, CTF has kicked off a pilot project designed to characterize the molecular landscape of cutaneous neurofibromas (NF) that grow in NF1 patients, sponsored by the Children's Tumor Foundation. This project includes high-throughput data from 11 different patient tumors and matched blood samples. These data are then compared with one another to assess the distinct landscape of cutaneous NF for each patient.",https://www.synapse.org/#!Synapse:syn4984604/wiki/247965,Children's Tumor Foundation | Sage Bionetworks | HudsonAlpha,Neurofibromatosis 1,Cutaneous Neurofibroma,,,syn4984604,Accessing the data from this study requires a Synapse account. You must also [request access](https://www.synapse.org/#!Synapse:syn4984604/wiki/594099) from the Children's Tumor Foundation.,"If you use data from this study in a publication or talk, please cite the following publication: ""Gosline SJ‚ Weinberg H, Knight P, et al. A high-throughput molecular data resource for cutaneous neurofibromas. Sci Data. 2017;4:170045. Published 2017 Apr 11. doi:10.1038/sdata.2017.45."" In addition, please acknowledge the NF Data Portal using the following statement: ""The results published here are in whole or in part based on data obtained from the NF Data Portal (http://www.nfdataportal.org) and made available through the NF Open Science Initiative.""",syn9727752
